Keyword,Assigned Category
Snack Bars,Nutrition bars
Raspberry White Tea,Tea
Burger Seasoning,Seasonings
Olive Salad,Vegetable dishes
Protein Puffs,Protein and nutritional powders
Plantain Chips,"Tortilla, corn, other chips"
Coconut Cream,Milk substitutes
Coffee Energy Drink,Sport and energy drinks
Prebiotic Soda,Other diet drinks
Drink Mix Packets,Fruit drinks
Peanut Caramel Candy,Candy not containing chocolate
Cheese Corn,Cheese
Corn Nuts,Nuts and seeds
Himalayan Pink Salt,Seasonings
Hydration Drink,Sport and energy drinks
Rice Vinegar,Soy-based condiments
Ramen Snack,Noodles
Oat Milk Latte,Milk substitutes
Fajita Seasoning Mix,Seasonings
S'mores Kit,Other sandwiches (single code)
Calorie Free Ketchup,Tomato-based condiments
Ramen Noodle Soup,Noodles
Nacho Cheese Sauce,Cheese
Poultry Seasoning,Spices
Turkey Brine and Rub Kit,Other poultry
Evaporated Milk,"Milk, whole"
Minced Garlic,Seasonings
Diced Tomatoes,Tomatoes
Candy Wafers,Candy not containing chocolate
Biryani Seasoning Mix,Seasonings
Energy Coffee,Sport and energy drinks
Worcestershire Sauce,Soy-based condiments
Cheese Flavored Snacks,Cheese
Energy Coffee Drink,Sport and energy drinks
All Purpose Flour,Baking Products
Salmon Seasoning,Seasonings
Pecan Brittle,Nuts and seeds
Powdered Milk,"Milk, nonfat"
Namkeens,Not included in a food category
Chinkiang Vinegar,Soy-based condiments
Breakfast Essentials,Nutritional beverages
Chicken Alfredo,"Pasta mixed dishes, excludes macaroni and cheese"
BBQ Chips,Potato chips
Coarse Sea Salt,Seasonings
Zero Sugar Sport Drink,Sport and energy drinks
Canned Pumpkin,Other vegetables and combinations
Pear Halves,Pears
G2 Sports Drink,Sport and energy drinks
Nutrition Drink,Nutritional beverages
Zero Sugar Lemon Tea,Tea
Fry Mix,Baking Products
Coconut Water,Milk substitutes
Candy Variety Pack,Candy not containing chocolate
Vinegar Rice,Rice
Iced Tea Packets,Tea
Coconut Water Powder,Milk substitutes
Spiced Cider Drink Mix,Other dairy drinks
Flavored Drink,"Flavored milk, whole"
Peanut Caramel Bar,Candy containing chocolate
Vegan Mac and Cheese,Macaroni and cheese
Cashew Brittle,Nuts and seeds
Biscuit Sticks,Turnovers and other grain-based items
Butter Spread,Margarine
Sparkling Apple Cider,Other fruit juice
Zero Sugar Thirst Quencher,Sport and energy drinks
Steak Seasoning,Seasonings
Korean Rice Cakes,Pretzels/snack mix
Apple Cider Vinegar Shots,Other fruit juice
Cheddar Cheese Pretzel Sandwiches,Cheese sandwiches
Fruit Vinegar,Other fruit juice
Matcha Latte Mix,"Flavored milk, whole"
Chocolate Drink Mix,"Flavored milk, whole"
Snack Crisps,"Tortilla, corn, other chips"
Chow Mein,Lo/chow mein
Juice Variety Pack,Other fruit juice
Blow Pop,Candy not containing chocolate
Chow Mein Noodles,Lo/chow mein
Snack Box,Pretzels/snack mix
Queso Chips,"Tortilla, corn, other chips"
Digestive Biscuits,"Biscuits, muffins, quick breads"
Milk Powder,"Milk, nonfat"
Ground Beef Patties,Ground beef
Chicken Breast Strips,"Chicken, whole pieces"
Toffee Candies,Candy not containing chocolate
Ketchup Seasoning Mix,Tomato-based condiments
Sugar Cookie Dough,Cookies and brownies
Nacho Cheese Dispenser,Cheese
Cheese Snack Mix,Pretzels/snack mix
Chocolate Mix,"Flavored milk, whole"
Peanut Caramel Bars,Candy not containing chocolate
Low-Calorie Sports Drink,Sport and energy drinks
Protein Shake,Other dairy drinks
Pappadums,Turnovers and other grain-based items
Baking Mix,Baking Products
Grapefruit Juice,Citrus juice
Mango Juice Cocktail,Other fruit juice
Sauce Mix,Dips
Malted Milk Balls,Candy containing chocolate
Tomato Sauce,Tomato-based condiments
Refried Beans,"Beans, peas, legumes"
Strawberry Lemonade Energy Drink,Sport and energy drinks
Buttermilk,Other dairy drinks
Toddler Food Pouches,Baby food: mixtures
Protein Bites,Nutrition bars
Peppermint Candy,Candy not containing chocolate
Shelf Stable 2% Milk,"Milk, reduced fat"
Peanut Chews,Candy containing chocolate
Brewed Cacao,Tea
Almond Candy,Candy not containing chocolate
Cactus Water,Milk substitutes
Grape Juice Drink,Fruit drinks
Zero Sugar Sports Drink,Sport and energy drinks
Orange Drink,Fruit drinks
Mexican Seasoning,Seasonings
Raspberry Lemonade Energy Drink,Sport and energy drinks
Goji Berries,Dried fruits
Seasoned Rice Vinegar,Soy-based condiments
Electrolyte Drink Mix,Sport and energy drinks
Cheese Snack,Cheese
Mexican Salsa,Other Mexican mixed dishes
Taco Seasoning,Burritos and tacos
Tandoori Masala,Spices
Pizza Flavored Snack,Pizza
Sparkling Juice Drink,Fruit drinks
Chai Latte Pods,Other dairy drinks
Flatbread,Turnovers and other grain-based items
Garlic Paste,Seasonings
Shelf-Stable Milk,"Milk, whole"
Keto Snack Mix,Pretzels/snack mix
Coffee Alternative,Milk substitutes
Chana Masala,"Bean, pea, legume dishes"
Raspberry Lemonade Drink Mix,Fruit drinks
Snack Variety Pack,Pretzels/snack mix
Sparkling Fitness Drink,Sport and energy drinks
Raspberry Tea,Tea
Apple Cider Vinegar,Other condiments
Zero Sugar Fruit Punch,Fruit drinks
Flavored Salt,Seasonings
Diet Tea,Other diet drinks
Cucumber Watermelon Beverage,Fruit drinks
Aloe Vera Drink,Fruit drinks
Alkaline Water,Enhanced water
Onion Rings Snack Chips,Potato chips
Dark Chocolate Almonds,Candy containing chocolate
Peach Iced Tea,Fruit drinks
Orange Mango Juice Drink,Other fruit juice
Tailgate Snack Mix,Pretzels/snack mix
Hot Sauce,Other condiments
Chicken Wings,"Chicken, whole pieces"
Wafer Bars,Turnovers and other grain-based items
Energy Shot,Sport and energy drinks
Flattened Rice,Rice
Lemon Juice,Other fruit juice
Prime Hydration,Sport and energy drinks
Cheese Pretzel Bites,Cheese
Energy Gummies,Sport and energy drinks
Margarita Salt,Seasonings
Cheddar Cheese Snacks,Cheese
Pita Chips,"Tortilla, corn, other chips"
Spicy Jalapeno Ranch Sauce,Vegetable oils
Strawberry Flavored Milk,"Flavored milk, whole"
Pre-Workout Powder,Protein and nutritional powders
Candy Variety Box,Candy not containing chocolate
Brittle Bites,Candy not containing chocolate
Zero Sugar Drink,Other diet drinks
Granola Bars,Cereal bars
Sweetened Iced Tea,Fruit drinks
Electrolyte Drink,Sport and energy drinks
Coconut Candy,Candy not containing chocolate
Mayochup,Tomato-based condiments
Apple Juice Drink,Apple juice
Spicy Ramen,Noodles
Party Mix Seasoning,Seasonings
Sea Salt,Seasonings
Strawberry Kiwi Juice,Other fruit juice
Gatorade Zero Sugar,Diet sport and energy drinks
Namkeen,Not included in a food category
Mushroom Jerky,Processed soy products
Chocolate Milk,"Flavored milk, whole"
Ume Plum Vinegar,Soy-based condiments
Chicken Alfredo Meal,Poultry mixed dishes
Cake Rusk,Cakes and pies
Pimientos,Vegetable dishes
Salsa Picante,Tomato-based condiments
Popcorn Salt,Popcorn
Antioxidant Infused Drink,Nutritional beverages
Energy Powder Drink Mix,Sport and energy drinks
Rice Wine Vinegar,Soy-based condiments
Cranberry Sauce,Other fruit juice
Pepper Sauce,Dips
Dry Whole Milk,"Milk, whole"
Beef Rub,Seasonings
Sparkling Beverage,Soft drinks
Cupcakes,Cakes and pies
Protein Granola Bars,Nutrition bars
Peanut Butter Candy,Candy not containing chocolate
Toffee Candy,Candy not containing chocolate
Probiotic Soda,Other dairy drinks
Zero Sugar Variety Pack,Other diet drinks
Chili Kit,Other Mexican mixed dishes
Cheese Pretzel Snacks,Pretzels/snack mix
Sparkling Energy Drink,Sport and energy drinks
Whole Milk Powder,"Milk, whole"
Propel,Sport and energy drinks
Buttercrunch Toffee,Candy not containing chocolate
Chili Lollipops,Candy not containing chocolate
Water Enhancer,Enhanced water
Chips Variety Pack,"Tortilla, corn, other chips"
Zero Sugar Lemonade,Fruit drinks
Energy Pouches,Sport and energy drinks
Spiced Apple Cider Mix,Seasonings
Canned Corn,Corn
Banana Milk,"Flavored milk, whole"
Mineral Water,Bottled water
Tea Drink Enhancer,Tea
Dry Milk Powder,"Milk, nonfat"
Tonic Water,Flavored or carbonated water
Hot Pepper Sauce,Tomato-based condiments
Peanut Brittle,Candy not containing chocolate
Protein Coffee,Nutritional beverages
Caffeine-Free Soda,Soft drinks
Snack Chips,"Tortilla, corn, other chips"
Toffee,Candy not containing chocolate
Raspberry Lemonade,Fruit drinks
Himalayan Salt,Seasonings
Sriracha Sauce,Tomato-based condiments
Toffee Bars,Candy not containing chocolate
Zero Sugar Soda,Diet soft drinks
Arnold Palmer Zero,Other diet drinks
Toddler Food Pouch,Baby food: mixtures
Oxtail Seasoning,Seasonings
Mint Candy,Candy not containing chocolate
Sweetened Condensed Milk,Other dairy drinks
Electrolyte Water,Enhanced water
White Cheddar Puffs,Cheese
Onion Flavored Rings,Fried vegetables
Cheese Puffcorn,Cheese
Peanut Butter Snacks,Nuts and seeds
Blow Pops,Candy not containing chocolate
Roasted Chickpeas,"Beans, peas, legumes"
Zero Sugar Lemon Lime,Diet soft drinks
Fruit Snacks Variety Pack,Other fruits and fruit salads
Nacho Cheese Snacks,Nachos
Sports Drinking Water,Sport and energy drinks
Yogurt Covered Snacks,"Yogurt, regular"
Soft Pretzels,Pretzels/snack mix
Burger Seasoning Blend,Seasonings
Assorted Flavored Candy,Candy not containing chocolate
Trail Mix,Nuts and seeds
Pork Skins,Pork
